id,title,slug,status,deadline,country,country_scope,raw_cover_image,created_at,url,source
cecbb1dc-e98a-44ab-b0e3-7b7aa10e9bfe,Addis Ababa workshop empowers alumnae to elevate leadership potential and navigate career challenges,,needs_review,2026-08-06,,,,,,Australia Awards
76c8a5f4-2d3d-47ad-b6d9-bb0b6bd900cc,HSRC screens &quot;The Spirit of Kanju: Leaders Transforming Africa&quot; - A documentary film created by Alumni of the Mastercard Foundation Scholars Program   23 November 2023,,needs_review,2026-02-10,,,,,,Mastercard Foundation Scholars Program
854f4304-3a26-4a9e-95c7-3170e345a37e,RUFORUM and the Mastercard Foundation Extend Partnership to Transform African Agricultural Universities Program to Drive Africa’s Growth and Development   12 August 2024,,needs_review,2026-02-10,,,,,,Mastercard Foundation Scholars Program
fea56348-0b48-4ba9-9627-1ca7021dc07d,Mastercard Foundation Scholars Impress At The 2024 Resolution Social Venture Challenge   01 April 2025,,needs_review,2026-02-10,,,,,,Mastercard Foundation Scholars Program
ad1ae9ba-b67e-4a23-98a0-85094a3610c7,Announcement,,published,2026-02-20,,,,,,Türkiye Scholarships
c7344dc5-84f1-416d-8164-8b6e3e183858,The Mastercard Foundation Scholars Program At CAMFED Ghana: Celebrating A Decade Of Impact   13 June 2024   Education and Transitions,,needs_review,2026-06-01,,,,,,Mastercard Foundation Scholars Program
6d4cf3c7-84ca-47fd-9b02-442046cbedd1,"The Government of Rwanda, Africa50 and BADEA break ground on the construction of Kigali Innovation City (KIC)",,needs_review,2024-09-11,Rwanda,,,,,Ministry of ICT & Innovation (MINICT)
7ec7c26a-0c46-4a07-b504-3ff1d701867d,"Labour day 2025: Government, Private, academia and development partners reflected on Job Creation as a shared priority",,needs_review,2025-05-01,Rwanda,,,,,Ministry of Public Service & Labour (MIFOTRA)
19fc7357-91bb-4e08-9513-27f4282b68da,"Labour Day 2026: Rwanda marks International Labour Day under the theme “Partnering for Skills, Powering Job Creation, and Fostering Local Economic Resilience.”",,needs_review,2026-06,Rwanda,,,,,Ministry of Public Service & Labour (MIFOTRA)
7fc55618-08ee-4fea-aaef-8a6970abf172,MIFOTRA Hosts Career Fair to Link Diaspora Youth with Employment and Skills Opportunities in Rwanda,,needs_review,2026-06,Rwanda,,,,,Ministry of Public Service & Labour (MIFOTRA)
208eeeb1-503a-429e-bbab-3801ae037a72,MIFOTRA Concludes SDEP Training to Strengthen Employment and Career Guidance Services,,needs_review,2026-06,Rwanda,,,,,Ministry of Public Service & Labour (MIFOTRA)
f29a48af-0f90-4707-9e8c-ed532b776d55,Latest issue,,needs_review,2026-07-31,Rwanda,,,,,University of Rwanda
